point,years,month,day,high,low
osk,1950,12,6,12.4,2.7
osk,2020,8,7,34.7,26.7
osk,1950,12,7,12.9,2.4
osk,2020,8,6,35.4,26.5
osk,1950,12,8,12.9,4.3
osk,2020,8,5,35.7,27.0
osk,1950,12,9,12.8,5.7
osk,2020,8,4,35.7,27.3
osk,2020,8,9,35.0,27.4
osk,2020,8,8,35.4,27.1
osk,1950,12,1,14.7,5.1
osk,1950,12,2,15.0,4.9
osk,2020,8,3,34.8,27.0
osk,1950,12,3,13.7,4.8
osk,2020,8,2,36.0,27.3
osk,1950,12,4,13.6,3.6
osk,2020,8,1,35.7,26.8
osk,1950,12,5,11.5,4.6
osk,2020,8,18,33.9,25.3
osk,2020,8,17,31.1,26.4
osk,2020,8,16,33.7,26.7
osk,2020,8,15,33.5,26.2
osk,2020,8,19,32.3,25.1
osk,1990,11,28,15.0,8.4
osk,2020,8,10,35.6,27.7
osk,1990,11,27,14.5,8.6
osk,1990,11,29,15.7,7.9
osk,1990,11,24,15.1,7.6
osk,2020,8,14,34.1,26.8
osk,1990,11,23,15.6,8.2
osk,2020,8,13,34.4,26.5
osk,1990,11,26,15.8,7.8
osk,2020,8,12,33.8,26.8
osk,1990,11,25,15.9,7.5
osk,2020,8,11,35.1,27.1
osk,1990,11,30,15.9,8.3
osk,1950,12,28,9.9,2.2
osk,1980,4,3,17.6,7.8
osk,1950,12,29,10.4,2.3
osk,1980,4,2,15.9,6.6
osk,1980,4,1,15.0,6.5
osk,1920,7,31,32.2,24.0
osk,1920,7,30,32.3,23.6
osk,1950,12,20,12.2,3.8
osk,1950,12,21,11.2,3.7
osk,1950,12,22,10.9,3.0
osk,1950,12,23,11.2,3.0
osk,1950,12,24,10.4,1.7
osk,1950,12,25,10.2,1.4
osk,1950,12,26,10.8,2.2
osk,1950,12,27,10.7,3.0
osk,1910,1,1,9.6,1.7
osk,1950,12,30,10.7,1.4
osk,1910,1,7,8.0,1.2
osk,1920,7,24,32.0,24.1
osk,1910,1,6,9.0,1.2
osk,1920,7,23,32.2,24.4
osk,1910,1,9,9.0,2.0
osk,1920,7,26,31.9,23.7
osk,1910,1,8,8.4,0.5
osk,1920,7,25,32.2,24.1
osk,1910,1,3,7.7,0.3
osk,1920,7,28,32.7,23.8
osk,1910,1,2,10.0,1.8
osk,1920,7,27,32.2,23.7
osk,1910,1,5,8.1,0.5
osk,1910,1,4,8.4,-0.1
osk,1920,7,29,32.3,24.4
osk,1950,12,17,11.7,3.1
osk,1950,12,18,11.1,3.4
osk,1950,12,19,11.8,3.7
osk,1920,7,20,31.4,23.8
osk,1920,7,22,32.8,24.0
osk,1920,7,21,32.4,24.1
osk,1950,12,10,11.9,4.4
osk,1950,12,11,12.5,2.4
osk,1950,12,12,13.6,2.6
osk,1950,12,13,14.3,4.4
osk,1950,12,14,12.7,4.0
osk,1950,12,15,12.5,4.7
osk,1950,12,16,11.8,3.5
osk,1910,1,10,9.3,2.0
osk,1910,1,12,9.8,1.6
osk,1910,1,11,9.6,2.3
osk,1910,1,18,8.9,1.1
osk,1920,7,13,30.2,22.3
osk,1910,1,17,8.0,0.3
osk,1920,7,12,29.9,22.7
osk,1920,7,15,30.7,23.0
osk,1910,1,19,8.8,0.6
osk,1920,7,14,30.4,22.2
osk,1910,1,14,7.8,0.6
osk,1920,7,17,30.9,23.6
osk,1910,1,13,8.2,0.2
osk,1920,7,16,30.5,23.4
osk,1910,1,16,7.9,0.5
osk,1920,7,19,31.2,23.9
osk,1910,1,15,8.5,0.8
osk,1920,7,18,31.1,23.8
osk,1980,4,25,21.5,10.8
osk,1980,4,24,20.7,10.7
osk,1980,4,23,20.8,11.2
osk,1980,4,22,20.0,11.9
osk,1980,4,21,21.3,11.4
osk,1980,4,20,21.4,12.1
osk,1920,7,11,30.8,23.2
osk,1920,7,10,29.3,23.0
osk,1910,1,21,9.5,0.2
osk,1910,1,20,8.7,0.3
osk,1920,7,9,30.7,22.9
osk,1910,1,23,9.0,1.6
osk,1910,1,22,9.6,2.1
osk,1910,1,29,8.9,1.3
osk,1920,7,2,28.4,20.3
osk,1910,1,28,9.8,0.9
osk,1920,7,1,27.9,20.4
osk,1920,7,4,29.1,21.2
osk,1920,7,3,28.3,20.8
osk,1980,4,19,20.8,10.9
osk,1910,1,25,8.1,-0.1
osk,1920,7,6,29.0,22.1
osk,1980,4,18,20.4,10.8
osk,1910,1,24,7.4,-0.1
osk,1920,7,5,27.7,21.7
osk,1980,4,17,19.1,9.6
osk,1910,1,27,8.8,0.5
osk,1920,7,8,29.9,22.3
osk,1980,4,16,18.5,9.6
osk,1910,1,26,8.1,-0.4
osk,1920,7,7,29.8,22.3
osk,1980,4,15,18.2,10.5
osk,1980,4,14,19.4,9.2
osk,1980,4,13,18.7,9.6
osk,1980,4,12,18.3,9.2
osk,1980,4,11,18.7,9.0
osk,1980,4,10,17.8,10.7
osk,1910,1,31,7.5,0.1
osk,1910,1,30,8.3,0.3
osk,1980,4,9,19.2,9.5
osk,1980,4,8,19.0,8.6
osk,1980,4,7,15.9,9.0
osk,1980,4,6,19.2,8.6
osk,1980,4,5,18.7,8.7
osk,1980,4,4,17.1,9.2
osk,1980,4,30,22.9,13.3
osk,1980,4,29,23.9,12.6
osk,1980,4,28,22.3,12.4
osk,1980,4,27,22.6,12.7
osk,1980,4,26,22.6,11.3
