point,years,month,day,high,low
sdi,1950,12,6,9.3,0.7
sdi,2020,8,7,30.6,23.9
sdi,1950,12,7,8.6,-0.2
sdi,2020,8,6,31.1,24.4
sdi,1950,12,8,9.1,-0.1
sdi,2020,8,5,31.7,24.3
sdi,1950,12,9,10.0,0.8
sdi,2020,8,4,31.1,23.9
sdi,2020,8,9,31.5,24.3
sdi,2020,8,8,30.0,23.6
sdi,1950,12,1,10.5,1.7
sdi,1950,12,2,12.0,2.5
sdi,2020,8,3,31.0,23.2
sdi,1950,12,3,9.9,1.5
sdi,2020,8,2,32.5,23.8
sdi,1950,12,4,9.7,0.3
sdi,2020,8,1,31.3,23.9
sdi,1950,12,5,9.0,0.7
sdi,2020,8,18,30.5,23.8
sdi,2020,8,17,31.3,23.2
sdi,2020,8,16,29.9,24.0
sdi,2020,8,15,29.6,23.1
sdi,2020,8,19,31.7,23.5
sdi,1990,11,28,10.9,4.3
sdi,2020,8,10,32.7,24.5
sdi,1990,11,27,11.5,3.8
sdi,1990,11,29,12.0,4.2
sdi,1990,11,24,11.6,3.9
sdi,2020,8,14,28.6,23.1
sdi,1990,11,23,12.9,3.7
sdi,2020,8,13,30.0,23.3
sdi,1990,11,26,12.7,3.7
sdi,2020,8,12,29.2,23.3
sdi,1990,11,25,12.1,3.4
sdi,2020,8,11,31.7,23.6
sdi,1990,11,30,12.5,3.6
sdi,1950,12,28,5.3,-0.9
sdi,1980,4,3,13.0,3.3
sdi,1950,12,29,5.9,-1.1
sdi,1980,4,2,11.6,2.1
sdi,1980,4,1,10.5,1.5
sdi,1920,7,31,29.5,21.4
sdi,1920,7,30,29.6,21.9
sdi,1950,12,20,9.3,0.7
sdi,1950,12,21,7.3,0.6
sdi,1950,12,22,6.2,-0.5
sdi,1950,12,23,6.9,-0.7
sdi,1950,12,24,6.7,-1.3
sdi,1950,12,25,6.4,-1.5
sdi,1950,12,26,6.4,-0.6
sdi,1950,12,27,6.3,-0.5
sdi,1950,12,30,5.7,-1.7
sdi,1920,7,24,27.6,20.6
sdi,1920,7,23,28.8,20.8
sdi,1920,7,26,26.1,20.0
sdi,1920,7,25,26.2,20.8
sdi,1920,7,28,27.6,21.1
sdi,1920,7,27,28.2,20.8
sdi,1920,7,29,29.1,20.7
sdi,1950,12,17,8.8,-0.6
sdi,1950,12,18,8.2,-0.3
sdi,1950,12,19,8.4,-0.1
sdi,1920,7,20,26.4,19.0
sdi,1920,7,22,27.7,19.8
sdi,1920,7,21,23.4,19.6
sdi,1950,12,10,8.8,1.7
sdi,1950,12,11,9.0,0.7
sdi,1950,12,12,10.0,1.5
sdi,1950,12,13,11.8,0.9
sdi,1950,12,14,10.2,0.4
sdi,1950,12,15,8.6,-0.4
sdi,1950,12,16,7.8,-0.6
sdi,1920,7,13,28.7,21.0
sdi,1920,7,12,28.3,20.0
sdi,1920,7,15,28.8,21.3
sdi,1920,7,14,28.0,21.5
sdi,1920,7,17,29.1,21.4
sdi,1920,7,16,30.4,21.0
sdi,1920,7,19,28.7,20.2
sdi,1920,7,18,30.4,22.1
sdi,1980,4,25,17.1,6.8
sdi,1980,4,24,16.8,7.3
sdi,1980,4,23,16.6,7.4
sdi,1980,4,22,14.4,6.8
sdi,1980,4,21,14.6,6.5
sdi,1980,4,20,17.3,7.6
sdi,1920,7,11,28.8,20.4
sdi,1920,7,10,25.5,19.3
sdi,1920,7,9,25.5,18.7
sdi,1920,7,2,23.0,16.6
sdi,1920,7,1,21.7,15.7
sdi,1920,7,4,23.1,17.7
sdi,1920,7,3,22.7,17.0
sdi,1980,4,19,15.2,5.7
sdi,1920,7,6,21.0,17.5
sdi,1980,4,18,15.6,5.2
sdi,1920,7,5,24.3,17.0
sdi,1980,4,17,12.1,4.6
sdi,1920,7,8,23.0,18.3
sdi,1980,4,16,13.5,5.8
sdi,1920,7,7,21.2,17.8
sdi,1980,4,15,12.0,5.0
sdi,1980,4,14,14.3,4.3
sdi,1980,4,13,13.1,4.8
sdi,1980,4,12,12.6,4.3
sdi,1980,4,11,14.3,5.1
sdi,1980,4,10,12.0,5.5
sdi,1980,4,9,13.5,4.6
sdi,1980,4,8,12.7,4.5
sdi,1980,4,7,12.3,4.3
sdi,1980,4,6,14.7,5.1
sdi,1980,4,5,13.2,4.5
sdi,1980,4,4,13.4,3.9
sdi,1980,4,30,17.4,8.1
sdi,1980,4,29,14.9,7.5
sdi,1980,4,28,17.6,7.5
sdi,1980,4,27,17.9,7.9
sdi,1980,4,26,16.7,6.6
sdi,1960,6,1,20.5,12.5
sdi,1960,6,3,20.8,13.5
sdi,1960,6,2,21.2,12.4
sdi,1930,2,16,6.1,-2.3
sdi,1930,2,17,5.8,-2.5
sdi,1930,2,18,5.5,-2.7
sdi,1930,2,19,4.5,-3.7
sdi,1930,2,10,3.4,-4.9
sdi,1930,2,11,4.2,-5.4
sdi,1930,2,12,3.5,-4.9
sdi,1930,2,13,4.6,-3.5
sdi,1930,2,14,6.0,-2.3
sdi,1930,2,15,6.2,-2.2
sdi,1930,2,27,6.0,-2.9
sdi,1930,2,28,5.6,-3.0
sdi,1930,2,29,4.5,-5.7
sdi,1930,2,20,6.3,-3.3
sdi,1930,2,21,6.1,-3.4
sdi,1930,2,22,6.0,-4.0
sdi,1930,2,23,6.6,-3.8
sdi,1930,2,24,7.1,-2.7
sdi,1930,2,25,5.3,-2.8
sdi,1930,2,26,5.8,-2.8
sdi,2000,7,1,25.5,18.6
sdi,2000,7,2,23.5,17.8
sdi,2000,7,3,24.6,18.1
sdi,2000,7,4,23.7,18.5
sdi,1960,6,30,25.2,17.4
sdi,2000,7,5,24.1,18.4
sdi,2000,7,6,25.7,18.8
sdi,2000,7,7,25.7,19.0
