point,years,month,day,high,low
spr,1950,12,6,2.3,-5.3
spr,2020,8,7,28.6,21.1
spr,1950,12,7,1.5,-7.1
spr,2020,8,6,28.0,21.7
spr,1950,12,8,3.8,-5.5
spr,2020,8,5,28.6,22.0
spr,1950,12,9,4.0,-4.7
spr,2020,8,4,28.7,22.0
spr,2020,8,9,28.8,21.6
spr,2020,8,8,27.8,22.5
spr,1950,12,1,5.0,-1.7
spr,1950,12,2,4.5,-3.0
spr,2020,8,3,30.0,22.8
spr,1950,12,3,4.4,-4.0
spr,2020,8,2,30.1,22.4
spr,1950,12,4,3.5,-4.0
spr,2020,8,1,30.1,21.3
spr,1950,12,5,2.7,-4.1
spr,2020,8,18,25.6,20.1
spr,2020,8,17,27.9,21.3
spr,2020,8,16,26.1,20.7
spr,2020,8,15,27.5,20.0
spr,2020,8,19,29.4,20.5
spr,1990,11,28,6.2,-0.9
spr,2020,8,10,26.1,21.3
spr,1990,11,27,6.5,-0.6
spr,1990,11,29,5.7,0.4
spr,1990,11,24,6.7,-0.0
spr,2020,8,14,26.4,20.2
spr,1990,11,23,7.2,1.1
spr,2020,8,13,28.1,21.0
spr,1990,11,26,7.2,0.9
spr,2020,8,12,30.2,20.7
spr,1990,11,25,8.0,1.0
spr,2020,8,11,29.1,20.4
spr,1990,11,30,6.1,0.1
spr,1950,12,28,0.5,-7.2
spr,1980,4,3,8.8,0.4
spr,1950,12,29,-0.6,-7.3
spr,1980,4,2,6.3,0.2
spr,1980,4,1,5.9,-1.0
spr,1920,7,31,26.5,18.1
spr,1920,7,30,28.4,18.1
spr,1950,12,20,2.2,-4.7
spr,1950,12,21,0.8,-6.7
spr,1950,12,22,0.1,-7.5
spr,1950,12,23,0.1,-6.8
spr,1950,12,24,0.4,-6.7
spr,1950,12,25,-0.2,-8.0
spr,1950,12,26,-0.5,-7.7
spr,1950,12,27,-0.8,-8.7
spr,1910,1,1,-0.4,-9.6
spr,1950,12,30,0.3,-7.9
spr,1910,1,7,-3.0,-11.1
spr,1920,7,24,26.7,17.6
spr,1910,1,6,-2.1,-11.5
spr,1920,7,23,27.1,17.1
spr,1910,1,9,-0.4,-10.3
spr,1920,7,26,27.7,16.3
spr,1910,1,8,-0.7,-9.5
spr,1920,7,25,27.4,16.9
spr,1910,1,3,-1.9,-10.7
spr,1920,7,28,28.0,18.4
spr,1910,1,2,-1.1,-10.6
spr,1920,7,27,27.1,18.0
spr,1910,1,5,-2.7,-11.0
spr,1910,1,4,-1.5,-10.8
spr,1920,7,29,28.3,18.4
spr,1950,12,17,2.4,-5.3
spr,1950,12,18,1.5,-5.6
spr,1950,12,19,2.9,-5.6
spr,1920,7,20,27.7,17.1
spr,1920,7,22,27.1,16.9
spr,1920,7,21,27.4,17.5
spr,1950,12,10,3.4,-5.2
spr,1950,12,11,2.1,-4.5
