point,years,month,day,high,low
tky,1950,12,6,13.1,3.2
tky,2020,8,7,33.9,25.3
tky,1950,12,7,12.6,2.8
tky,2020,8,6,33.0,25.1
tky,1950,12,8,12.5,3.6
tky,2020,8,5,33.5,25.0
tky,1950,12,9,13.0,3.4
tky,2020,8,4,33.9,24.9
tky,2020,8,9,33.8,26.0
tky,2020,8,8,33.0,25.4
tky,1950,12,1,13.9,4.6
tky,1950,12,2,13.6,4.9
tky,2020,8,3,34.2,25.7
tky,1950,12,3,12.9,4.5
tky,2020,8,2,33.8,25.0
tky,1950,12,4,13.1,3.4
tky,2020,8,1,33.6,24.0
tky,1950,12,5,12.7,3.2
tky,2020,8,18,33.1,25.9
tky,2020,8,17,33.3,24.7
tky,2020,8,16,31.1,25.1
tky,2020,8,15,31.8,24.7
tky,2020,8,19,34.1,24.6
tky,1990,11,28,14.8,8.1
tky,2020,8,10,35.3,26.9
tky,1990,11,27,14.8,8.3
tky,1990,11,29,15.6,8.4
tky,1990,11,24,15.0,8.3
tky,2020,8,14,32.1,24.4
tky,1990,11,23,15.8,8.4
tky,2020,8,13,31.6,24.6
tky,1990,11,26,15.9,8.1
tky,2020,8,12,33.6,26.2
tky,1990,11,25,16.5,7.7
tky,2020,8,11,35.2,26.7
tky,1990,11,30,16.2,8.7
tky,1950,12,28,10.6,1.5
tky,1980,4,3,15.8,7.7
tky,1950,12,29,10.6,1.0
tky,1980,4,2,14.3,7.0
tky,1980,4,1,13.1,5.8
tky,1920,7,31,30.7,22.6
tky,1920,7,30,30.7,22.7
tky,1950,12,20,13.1,2.5
tky,1950,12,21,11.5,2.2
tky,1950,12,22,11.0,1.6
tky,1950,12,23,11.4,1.5
tky,1950,12,24,11.8,1.0
tky,1950,12,25,10.1,0.9
tky,1950,12,26,11.1,1.3
tky,1950,12,27,12.6,1.8
tky,1910,1,1,10.2,-0.3
tky,1950,12,30,10.3,1.4
tky,1910,1,7,8.0,-1.8
tky,1920,7,24,29.2,22.4
tky,1910,1,6,8.5,-2.6
tky,1920,7,23,30.5,22.7
tky,1910,1,9,9.7,-2.0
tky,1920,7,26,30.0,22.4
tky,1910,1,8,8.8,-1.7
tky,1920,7,25,29.3,22.2
tky,1910,1,3,9.4,-0.8
tky,1920,7,28,30.8,22.3
tky,1910,1,2,9.2,-0.4
tky,1920,7,27,29.5,22.5
tky,1910,1,5,7.2,-2.8
tky,1910,1,4,9.3,-2.4
tky,1920,7,29,30.8,22.4
tky,1950,12,17,12.7,2.9
tky,1950,12,18,12.6,2.0
tky,1950,12,19,12.0,2.6
tky,1920,7,20,30.3,21.7
tky,1920,7,22,29.7,21.5
tky,1920,7,21,29.5,21.2
tky,1950,12,10,13.4,3.2
tky,1950,12,11,13.2,2.5
tky,1950,12,12,13.1,2.0
