point,month,day,hhyear,hhtemp,hlyear,hltemp,lhyear,lhtemp,llyear,lltemp
fko,1,1,1916,20.4,1977,3.2,1949,9.5,1923,-3.0
fko,1,2,1987,19.2,1923,1.4,1988,9.8,1923,-3.9
fko,1,3,1916,16.7,1929,2.6,1980,9.1,1918,-4.6
fko,1,4,1960,19.4,1917,0.5,1901,12.1,1951,-3.7
fko,1,5,1937,20.0,1986,1.2,1901,12.0,1970,-4.6
fko,1,6,1940,20.2,1936,2.2,2000,11.1,1942,-2.1
fko,1,7,2020,19.5,1918,1.7,2020,12.4,1918,-3.3
fko,1,8,2020,18.0,2021,1.7,1989,12.3,1917,-3.8
fko,1,9,1954,18.7,1917,2.3,1916,11.6,1917,-3.7
fko,1,10,1953,19.5,1917,1.9,1906,11.6,1931,-5.0
fko,1,11,2008,18.9,1931,0.9,1957,11.4,1923,-4.4
fko,1,12,1908,18.9,1943,0.8,1964,10.2,1907,-4.1
fko,1,13,1908,19.7,1915,1.3,2023,13.5,1915,-4.2
fko,1,14,1924,18.3,1915,-0.2,2023,13.2,1915,-4.5
fko,1,15,2002,19.8,2001,0.7,2002,13.4,1967,-4.2
fko,1,16,2018,18.6,1958,1.8,2002,10.9,1967,-4.1
fko,1,17,1950,17.5,1959,-0.2,1994,10.2,1936,-5.1
fko,1,18,1950,17.7,1945,2.0,2024,12.5,1946,-4.6
fko,1,19,1908,21.5,1922,1.8,1989,14.1,1945,-4.4
fko,1,20,2010,18.8,1919,1.0,1989,10.8,1961,-3.9
fko,1,21,1923,19.4,1919,2.3,1991,9.7,1939,-4.1
fko,1,22,2021,20.1,1927,1.2,2021,10.8,2004,-2.5
fko,1,23,1973,17.8,1927,0.6,2020,11.3,1927,-4.3
fko,1,24,1946,19.7,2016,0.6,2020,11.4,1927,-4.8
fko,1,25,1903,19.0,1904,1.0,2020,8.4,1943,-4.3
fko,1,26,1969,19.6,1933,0.2,2015,10.1,1918,-6.0
fko,1,27,1928,19.5,1933,0.4,1969,13.5,1934,-4.2
fko,1,28,1950,17.8,1933,2.8,1967,11.0,1934,-5.6
fko,1,29,1957,20.4,1927,2.5,1980,10.9,1945,-5.7
fko,1,30,1911,20.3,1985,2.4,2014,10.4,1918,-3.7
fko,1,31,2006,17.9,1910,-0.3,2006,10.7,1940,-5.3
fko,2,1,2014,20.2,1910,1.4,2013,10.3,1910,-4.2
fko,2,2,2014,20.9,1996,1.8,2014,13.2,1910,-4.0
fko,2,3,1966,19.5,1947,1.9,2014,10.6,1946,-3.4
fko,2,4,1975,17.7,1902,2.7,1973,9.0,1946,-6.0
fko,2,5,1959,21.9,1919,2.9,1931,9.0,1919,-8.2
fko,2,6,1993,22.9,1900,0.1,1937,11.8,1977,-3.0
fko,2,7,1993,19.5,1984,2.1,1924,12.1,1947,-3.9
fko,2,8,1950,19.6,1927,1.9,2007,9.7,1941,-3.4
fko,2,9,2010,22.7,1913,1.9,1950,14.5,1941,-5.2
fko,2,10,1987,20.9,1913,1.8,2010,11.7,1948,-4.6
fko,2,11,1987,20.2,1957,2.1,1987,15.3,1946,-4.6
fko,2,12,1998,22.2,1901,1.7,1998,12.8,1902,-4.1
fko,2,13,2009,21.3,1929,3.3,2009,14.1,1918,-4.0
fko,2,14,1996,21.6,1902,2.2,1959,13.8,1904,-3.4
fko,2,15,2020,21.3,1977,2.6,1976,11.6,1977,-3.6
fko,2,16,2017,18.6,1977,-1.3,1959,10.6,1977,-5.2
fko,2,17,2017,19.5,1947,1.9,1959,11.6,1942,-4.1
fko,2,18,2024,21.9,1978,2.4,2023,11.5,1945,-5.4
fko,2,19,2019,22.7,2012,4.1,2024,14.6,1908,-5.3
fko,2,20,2021,20.4,1968,1.8,2024,13.0,1911,-4.5
fko,2,21,2004,23.8,1955,1.7,1979,12.9,1934,-3.6
fko,2,22,2021,23.7,1909,3.1,2021,13.3,1947,-3.1
fko,2,23,1958,21.3,1991,1.7,1990,11.4,1991,-3.3
fko,2,24,2010,22.9,1924,2.8,2009,10.1,1945,-3.7
fko,2,25,1960,21.7,1974,3.9,2010,13.8,1917,-3.0
fko,2,26,1960,22.1,1981,0.2,1954,12.1,1981,-4.3
fko,2,27,1912,24.3,1981,2.9,1954,15.2,1943,-4.1
fko,2,28,1997,22.4,1927,3.6,1992,12.9,1923,-3.7
fko,3,1,2021,23.8,1936,0.5,1928,12.2,1950,-3.2
