point,month,day,hhyear,hhtemp,hlyear,hltemp,lhyear,lhtemp,llyear,lltemp
ngt,1,1,1997,15.3,1977,-0.7,1949,6.2,1923,-6.0
ngt,1,2,1997,12.8,1943,-1.3,1949,7.2,1923,-5.0
ngt,1,3,1980,13.2,1923,-0.6,2016,8.0,1918,-4.9
ngt,1,4,1982,14.0,1970,0.2,2016,6.2,1945,-7.8
ngt,1,5,1960,13.2,1950,-0.2,1982,4.6,1950,-6.6
ngt,1,6,1937,13.5,1945,-0.2,2008,5.4,1950,-6.4
ngt,1,7,1932,13.8,1945,-0.2,2000,4.9,1951,-7.6
ngt,1,8,1979,15.2,1924,-0.9,1989,5.4,1939,-6.4
ngt,1,9,1995,15.0,1940,-0.9,1979,6.3,1939,-6.2
ngt,1,10,1979,15.3,1987,-0.8,1989,6.6,1939,-10.1
ngt,1,11,1966,13.7,1931,-1.7,1972,6.1,1939,-11.7
ngt,1,12,2023,13.7,1943,-1.8,1972,7.1,1909,-6.6
ngt,1,13,2023,13.6,1939,-0.5,1972,6.8,1909,-8.0
ngt,1,14,1978,13.0,1985,-1.3,2023,5.9,1930,-6.2
ngt,1,15,2002,12.7,1945,-0.8,1996,5.2,2018,-5.9
ngt,1,16,1927,11.0,1967,-1.3,2002,4.5,1951,-6.8
ngt,1,17,1987,11.7,1984,-0.9,1993,4.1,1942,-5.5
ngt,1,18,1990,11.7,1945,-1.1,1964,5.1,1939,-8.7
ngt,1,19,2000,10.9,1966,-0.7,1989,5.4,1977,-6.6
ngt,1,20,2010,10.9,1976,-1.8,1989,7.9,1970,-6.4
ngt,1,21,1948,13.8,1906,-3.6,2002,6.5,1911,-8.7
ngt,1,22,1916,15.2,1927,-2.7,1988,7.3,1943,-5.7
ngt,1,23,1916,12.3,1904,-2.3,1948,5.3,1928,-6.5
ngt,1,24,1973,11.6,1902,-2.7,1946,3.7,1936,-7.5
ngt,1,25,1973,14.6,1900,-3.0,1903,5.7,1936,-9.3
ngt,1,26,1932,12.3,1922,-1.4,1983,4.1,1900,-7.5
ngt,1,27,2017,11.1,1945,-2.4,2021,3.4,1985,-7.9
ngt,1,28,1928,12.0,1927,-2.2,1928,6.1,1953,-6.6
