point,month,day,hhyear,hhtemp,hlyear,hltemp,lhyear,lhtemp,llyear,lltemp
osk,1,1,1997,18.3,1923,4.3,1949,10.6,1923,-3.3
osk,1,2,1914,15.1,1923,3.1,1916,9.6,1923,-3.9
osk,1,3,1980,17.4,1918,4.0,1987,7.7,1929,-4.1
osk,1,4,1960,17.2,1917,2.4,1980,8.2,1904,-4.6
osk,1,5,1960,18.0,1959,3.1,1931,8.4,1938,-4.9
osk,1,6,2000,17.6,1939,3.2,2000,9.4,1946,-4.0
osk,1,7,1979,15.2,1918,3.5,1927,9.2,1935,-3.2
osk,1,8,1979,17.0,1956,2.8,1927,10.2,1943,-4.4
osk,1,9,1995,16.9,1956,3.0,1989,11.7,1938,-4.5
osk,1,10,1990,18.4,1934,3.2,1989,9.2,1936,-4.6
osk,1,11,1919,15.7,1931,3.2,1919,8.9,1938,-4.3
osk,1,12,1964,16.0,1943,1.0,1972,9.4,1934,-4.1
osk,1,13,1964,17.3,1951,3.1,2000,10.1,1943,-3.9
osk,1,14,1929,15.2,1915,1.9,2023,10.5,1943,-4.1
osk,1,15,1996,15.3,1968,2.8,2002,9.8,1915,-4.7
osk,1,16,2002,15.6,1934,2.7,2002,10.3,1967,-3.9
osk,1,17,1976,15.1,1936,-0.8,2018,8.5,1967,-4.7
osk,1,18,1954,14.3,1959,2.9,1973,8.0,1936,-4.4
osk,1,19,1908,17.9,1984,3.3,1989,10.6,1945,-5.9
osk,1,20,1908,17.5,1919,1.5,1989,11.6,1942,-4.0
osk,1,21,1948,17.2,1984,2.4,2024,8.9,1942,-4.3
osk,1,22,1916,19.0,2004,2.5,1988,8.6,1997,-3.8
osk,1,23,1987,15.8,1927,2.5,1995,9.0,1936,-4.6
osk,1,24,2020,14.5,1963,1.4,1973,8.6,1927,-4.0
osk,1,25,1903,16.0,1963,2.8,1972,10.1,1926,-4.0
osk,1,26,2021,19.0,1900,1.5,1903,7.8,1945,-5.3
osk,1,27,1969,18.3,1931,3.9,1969,10.9,1933,-4.9
osk,1,28,2020,19.1,1937,2.6,2020,9.1,1945,-7.5
osk,1,29,2009,16.1,2003,3.4,1980,9.3,1945,-5.2
osk,1,30,1950,15.5,1922,2.9,2009,10.7,1936,-3.9
osk,1,31,1949,16.6,1941,1.4,1911,7.7,1934,-4.7
osk,2,1,2014,14.8,1910,2.1,1949,8.6,1910,-3.7
osk,2,2,2013,17.1,1996,2.8,1920,9.3,1901,-4.3
osk,2,3,2014,16.3,1945,2.5,2014,8.5,1901,-4.7
osk,2,4,1931,15.5,1984,2.4,1931,7.2,1947,-6.0
osk,2,5,1959,17.6,1936,3.4,1931,6.8,1902,-3.6
osk,2,6,1993,19.0,1940,2.1,1937,7.4,1947,-4.0
osk,2,7,1993,19.6,1900,2.2,1959,8.4,1900,-5.0
osk,2,8,1960,16.8,1919,2.1,1957,8.2,1935,-5.1
