point,month,day,hhyear,hhtemp,hlyear,hltemp,lhyear,lhtemp,llyear,lltemp
sdi,1,1,1997,15.6,1977,-3.1,2004,3.3,1977,-8.2
sdi,1,2,1988,11.9,1951,-0.3,1949,4.1,1977,-9.3
sdi,1,3,1993,14.1,1958,-0.8,2016,5.9,1977,-8.0
sdi,1,4,2016,12.7,1967,-1.7,2016,4.4,1938,-9.2
sdi,1,5,1960,17.9,1951,-0.2,1960,4.3,1934,-7.7
sdi,1,6,1990,11.9,1936,-3.6,2024,4.8,1950,-7.9
sdi,1,7,2000,13.9,1945,-1.6,2007,4.7,1930,-9.5
sdi,1,8,1979,15.3,2021,-0.7,1989,4.2,1930,-9.0
sdi,1,9,1979,15.1,1940,-2.6,1989,3.8,1940,-9.8
sdi,1,10,1979,16.7,1987,-1.8,1989,4.5,1938,-9.5
sdi,1,11,1928,15.0,1931,-4.9,1928,4.0,1940,-9.3
sdi,1,12,1932,11.9,1943,-0.9,1972,6.7,1931,-8.8
sdi,1,13,2023,15.1,1933,-1.9,1972,4.7,1942,-8.6
sdi,1,14,2000,13.1,1985,-1.1,2023,6.8,1938,-10.0
sdi,1,15,1996,13.0,1940,-1.1,2023,4.9,1951,-8.8
sdi,1,16,1927,11.1,1936,-2.3,1972,2.0,1945,-8.8
sdi,1,17,1976,13.0,1936,-3.5,1971,4.1,1967,-10.2
sdi,1,18,1941,14.0,2001,-1.2,1971,4.8,1936,-11.5
sdi,1,19,1969,13.4,1966,-2.3,2024,3.6,1935,-8.4
sdi,1,20,2010,13.9,1976,-2.3,1989,3.8,1933,-8.8
sdi,1,21,1948,15.5,1927,-3.5,1989,3.6,1936,-8.6
sdi,1,22,1967,14.4,1927,-1.4,2024,5.6,1936,-8.8
sdi,1,23,2009,13.3,1976,-2.3,2009,4.8,1976,-10.1
sdi,1,24,1946,11.7,1990,-3.1,2020,2.6,1927,-11.3
sdi,1,25,1973,15.4,2023,-3.0,1973,4.6,1945,-11.3
sdi,1,26,1979,12.9,1941,-1.4,2015,4.1,1945,-11.7
sdi,1,27,1969,14.8,2012,-1.5,2007,3.6,1927,-9.7
sdi,1,28,2010,15.1,1927,-1.3,1980,3.7,1945,-10.0
sdi,1,29,1983,13.8,1954,-1.7,2020,5.0,1933,-8.9
sdi,1,30,1957,13.9,1954,-1.5,2009,3.5,1929,-9.4
sdi,1,31,2024,14.0,1936,-2.9,2020,3.2,1936,-9.2
sdi,2,1,1949,13.1,1978,-2.6,1979,3.8,1929,-8.9
sdi,2,2,2013,12.9,1996,-3.1,2013,2.2,1933,-8.0
sdi,2,3,2014,13.2,1947,-3.8,1949,6.0,1944,-9.7
sdi,2,4,2019,12.3,1945,-2.9,1949,6.6,1947,-9.4
sdi,2,5,1959,13.0,1952,-1.9,2017,2.7,1947,-9.4
sdi,2,6,1993,18.4,1984,-3.0,1973,3.6,1934,-8.2
sdi,2,7,1993,19.6,1984,-2.0,1993,5.6,1982,-8.2
sdi,2,8,1960,15.3,1931,-3.0,2002,4.2,1942,-9.1
sdi,2,9,1950,16.9,1942,-0.7,1960,3.8,1942,-10.4
sdi,2,10,1966,14.5,1939,-1.4,1959,4.8,1942,-10.4
sdi,2,11,1962,20.7,1974,0.0,1987,5.1,1939,-9.9
sdi,2,12,1969,15.7,2018,-0.8,1953,3.9,1931,-11.5
sdi,2,13,2016,15.7,1983,-1.5,1996,6.2,1931,-8.1
sdi,2,14,2016,20.9,1978,-0.1,2020,7.6,1967,-8.8
sdi,2,15,2024,21.1,1961,-0.9,2024,7.4,1967,-8.1
sdi,2,16,2024,15.5,1969,-1.8,1989,4.9,1944,-8.7
sdi,2,17,2017,17.2,1984,0.0,1989,4.2,1942,-8.9
sdi,2,18,2024,15.3,1900,0.0,1973,5.9,1942,-11.1
sdi,2,19,2024,18.4,1945,-0.3,2024,7.4,1942,-7.0
sdi,2,20,2024,16.4,1942,-1.5,2024,4.5,1945,-8.3
sdi,2,21,1979,16.3,1953,-0.7,1990,5.8,1945,-8.6
sdi,2,22,2021,19.3,1945,-0.5,2021,4.4,1945,-9.4
sdi,2,23,1967,18.4,1978,-1.4,2015,5.8,1934,-9.9
sdi,2,24,1960,15.2,1945,-1.3,1990,5.5,1945,-7.5
sdi,2,25,1960,16.6,1929,-1.8,1990,4.5,1969,-8.4
sdi,2,26,1954,16.7,1987,0.0,2010,4.8,1969,-6.9
