point,month,day,hhyear,hhtemp,hlyear,hltemp,lhyear,lhtemp,llyear,lltemp
spr,1,1,1910,9.1,2021,-8.9,2009,-0.6,1911,-18.6
spr,1,2,1997,6.0,1911,-11.0,1914,0.2,1911,-18.7
spr,1,3,1980,7.7,1900,-9.0,2009,-0.2,1904,-20.7
spr,1,4,1980,7.3,1919,-10.1,1997,0.2,1904,-24.7
spr,1,5,1948,8.1,1919,-9.7,1976,0.6,1902,-21.5
spr,1,6,1907,6.8,1931,-8.9,2010,0.1,1902,-23.6
spr,1,7,1932,6.7,1998,-7.8,1932,1.5,1939,-17.9
spr,1,8,1983,8.4,1953,-8.7,1975,1.0,1900,-19.8
spr,1,9,1995,7.1,1930,-9.2,1965,-0.2,1917,-23.0
spr,1,10,1928,10.0,1910,-7.9,1989,0.1,1917,-22.2
spr,1,11,1971,6.8,1909,-10.7,1996,-0.9,1909,-22.9
spr,1,12,1982,7.0,1909,-10.8,1972,0.9,1909,-24.5
spr,1,13,2023,7.6,1909,-11.0,1964,2.7,1909,-25.0
spr,1,14,1914,9.5,1909,-9.3,1914,3.2,1909,-22.6
spr,1,15,1929,7.3,2003,-8.5,2022,-0.2,1922,-23.2
spr,1,16,2021,5.9,1915,-9.1,2018,-1.6,1945,-19.4
spr,1,17,1987,6.7,1908,-10.8,1992,-0.2,1908,-24.3
spr,1,18,1941,6.0,1906,-10.1,1947,0.1,1922,-27.0
spr,1,19,2009,7.3,1966,-9.4,1989,0.0,1922,-26.8
spr,1,20,1941,7.4,1908,-7.8,1991,0.6,1913,-18.2
spr,1,21,1948,8.3,1906,-9.4,2004,-1.0,1913,-20.8
spr,1,22,1916,8.2,1908,-9.4,2002,2.7,1902,-20.0
spr,1,23,2009,7.6,1954,-10.0,1995,0.3,1922,-23.1
spr,1,24,1903,11.2,1902,-10.9,1973,-1.3,1954,-20.9
spr,1,25,1903,6.9,1900,-10.5,2014,-0.8,1900,-22.0
spr,1,26,1932,5.9,1913,-10.6,1993,0.2,1904,-23.7
spr,1,27,2021,6.2,1923,-9.6,1993,0.7,1904,-24.2
spr,1,28,1915,7.0,1977,-9.5,1915,1.5,1913,-18.5
spr,1,29,1983,7.5,1979,-9.8,1993,-0.2,1917,-24.6
spr,1,30,2014,8.5,1929,-8.5,2020,1.1,1919,-25.5
spr,1,31,1950,8.4,1996,-9.6,2020,-1.0,1922,-24.3
spr,2,1,1911,7.4,1996,-9.9,1911,0.2,1929,-28.5
spr,2,2,2013,7.6,1986,-7.5,1970,-0.3,1926,-20.5
spr,2,3,1966,6.4,2010,-9.5,1949,-0.3,1919,-24.2
spr,2,4,1956,8.0,1902,-7.6,1949,0.0,1939,-23.3
spr,2,5,2002,4.8,1982,-8.0,1949,-1.5,1921,-22.8
spr,2,6,2002,6.7,1900,-8.6,1973,0.2,1901,-21.0
spr,2,7,1975,5.0,1909,-10.3,1960,0.4,1931,-19.5
spr,2,8,2003,6.7,2019,-10.1,2015,1.6,1939,-17.9
spr,2,9,1962,5.8,1942,-8.0,2003,-0.8,1913,-23.2
spr,2,10,1969,8.3,1964,-6.0,1922,-0.3,1913,-24.5
spr,2,11,1969,10.2,1933,-10.8,1990,1.9,1927,-22.2
spr,2,12,1969,9.8,2001,-7.8,1995,0.7,1912,-19.0
spr,2,13,2024,10.1,1980,-7.6,2016,2.9,1964,-17.8
spr,2,14,2024,10.8,1978,-8.0,2009,1.8,1908,-24.0
spr,2,15,2021,7.2,1987,-7.5,2004,0.8,1910,-23.8
spr,2,16,2017,8.1,1978,-9.9,2015,1.2,1929,-21.9
spr,2,17,1999,9.2,1978,-8.3,1985,0.4,1978,-19.4
spr,2,18,1973,7.1,1978,-8.0,1973,0.6,1902,-19.7
spr,2,19,2024,13.9,1927,-8.0,2024,2.8,1930,-20.6
spr,2,20,1941,8.5,1945,-7.4,1990,0.7,1931,-23.5
spr,2,21,2006,7.7,1945,-7.0,1904,2.2,1953,-19.6
spr,2,22,1951,7.7,1969,-7.8,2006,1.0,1945,-20.7
spr,2,23,2007,8.9,1969,-6.8,1985,0.7,1902,-20.9
spr,2,24,2011,9.3,1978,-7.2,2011,2.2,1911,-21.4
spr,2,25,1960,10.6,1969,-5.4,2010,2.6,1943,-22.5
spr,2,26,2022,8.0,1928,-6.2,1954,1.4,1906,-19.0
spr,2,27,2002,9.4,1983,-5.3,2015,0.7,1936,-18.7
spr,2,28,2023,11.2,1927,-6.4,1966,2.7,1936,-20.0
spr,3,1,1966,9.2,1917,-5.0,1953,2.3,1920,-17.2
spr,3,2,1966,9.4,1922,-5.2,1966,3.5,1924,-20.0
spr,3,3,1966,9.2,1929,-4.5,1966,2.0,1936,-16.6
spr,3,4,2000,11.2,1951,-5.2,1967,3.0,1910,-22.6
spr,3,5,2021,9.8,1965,-5.0,2021,2.0,1927,-19.2
spr,3,6,1976,11.2,1933,-5.7,1993,1.3,1927,-18.1
spr,3,7,2023,11.5,1933,-6.0,2023,3.3,1908,-15.8
spr,3,8,2023,11.2,1913,-7.5,2023,2.1,1923,-17.7
spr,3,9,2020,11.3,1908,-6.4,1902,3.1,1933,-18.4
spr,3,10,1949,9.9,1969,-4.6,2008,2.0,1906,-20.3
spr,3,11,1990,12.0,1980,-4.4,2006,3.1,1946,-17.4
spr,3,12,1960,7.7,1908,-3.1,1960,3.7,1946,-13.8
spr,3,13,2023,9.7,1969,-3.3,2023,2.1,1924,-19.2
spr,3,14,2002,11.1,1909,-6.7,2008,3.7,1924,-17.0
spr,3,15,2021,9.8,1909,-7.1,2008,2.4,1909,-15.5
spr,3,16,2021,12.2,1917,-4.4,2015,2.0,1924,-16.5
spr,3,17,2004,13.7,1909,-4.0,2015,3.5,1946,-16.8
spr,3,18,2016,13.0,1937,-4.2,2016,5.1,1946,-17.9
spr,3,19,2019,13.7,1937,-2.1,2019,4.7,1909,-15.2
spr,3,20,2023,14.3,1911,-2.1,2019,4.2,1945,-14.1
spr,3,21,2023,16.9,2013,-2.4,1963,4.8,1900,-11.7
spr,3,22,2023,19.1,1906,-4.3,2023,4.4,1911,-13.5
spr,3,23,2023,14.3,1913,-1.0,2023,9.3,1909,-16.4
spr,3,24,2021,14.9,1916,-2.8,2021,6.6,1932,-12.4
spr,3,25,2008,15.1,1916,-1.5,2021,6.4,1948,-10.9
spr,3,26,1969,14.6,1914,-1.5,2008,4.5,1945,-10.2
spr,3,27,2015,14.9,1908,-1.3,2022,4.6,1929,-10.2
spr,3,28,2018,16.4,1984,-0.5,2018,5.0,1905,-11.6
spr,3,29,2021,18.3,1999,-1.3,2021,8.3,1907,-9.1
spr,3,30,2023,14.5,1978,-0.9,2021,7.7,1929,-9.4
spr,3,31,2018,15.6,1987,-1.3,2023,5.9,1909,-9.3
spr,4,1,1990,16.2,1911,-0.9,2020,6.6,1919,-13.7
spr,4,2,1938,17.7,1929,-1.1,1992,6.5,1911,-10.9
spr,4,3,1992,17.2,1979,-0.9,1962,5.9,1929,-14.6
spr,4,4,1992,18.0,1944,0.0,1948,5.6,1939,-7.9
spr,4,5,2023,16.8,1925,0.4,2023,8.1,1939,-8.8
spr,4,6,1954,21.0,1950,1.0,2023,9.4,1916,-11.5
spr,4,7,1998,20.8,1999,1.1,2024,8.0,1939,-7.4
spr,4,8,2024,22.0,1931,0.8,2024,7.5,1916,-7.5
spr,4,9,1948,20.7,2006,3.3,1948,7.6,1916,-6.1
spr,4,10,2001,18.6,1980,2.5,1959,7.3,1900,-5.7
spr,4,11,1990,22.1,1965,2.9,2001,8.2,1900,-4.2
spr,4,12,1990,21.4,1987,2.2,2024,9.3,1901,-5.4
spr,4,13,2024,22.3,1959,2.7,2021,8.1,1931,-5.5
spr,4,14,2024,23.0,1980,2.6,2024,7.9,1958,-3.7
spr,4,15,2024,26.1,1905,3.3,2017,9.5,1908,-4.5
spr,4,16,1947,22.3,1944,4.0,2024,12.1,1905,-6.7
spr,4,17,1950,22.7,1966,4.4,2024,12.3,1905,-5.9
spr,4,18,2001,24.5,1923,2.7,2019,10.7,1944,-5.7
spr,4,19,1925,21.7,1926,3.1,2001,9.3,1913,-5.0
spr,4,20,1998,25.2,1965,3.6,2018,8.8,1918,-4.5
spr,4,21,1998,28.0,1905,4.7,1998,10.1,1906,-3.3
spr,4,22,1998,24.3,1929,3.5,1998,12.2,1904,-6.0
spr,4,23,1998,25.3,2005,4.5,1998,13.3,1937,-5.9
spr,4,24,2019,23.2,1951,5.0,1983,10.5,1902,-4.3
spr,4,25,1999,23.8,1987,4.2,1922,10.1,1902,-4.4
spr,4,26,2014,24.7,1987,4.5,1983,10.7,1920,-2.5
spr,4,27,2024,27.9,1933,6.0,1997,12.3,1902,-3.8
spr,4,28,1923,25.2,1989,5.6,1983,11.6,1916,-4.1
spr,4,29,1961,27.6,2016,5.6,2012,10.4,1937,-2.3
spr,4,30,2015,25.9,2016,6.2,2018,11.8,1906,-4.2
spr,5,1,2008,26.3,1947,6.0,2012,12.1,1936,-3.2
spr,5,2,1950,26.3,1931,5.8,2012,13.3,1910,-3.2
spr,5,3,1969,26.7,2013,5.8,2020,12.7,1934,-3.0
spr,5,4,2017,26.1,1929,5.0,2012,12.2,1957,-2.2
spr,5,5,1986,25.3,1929,4.6,1968,12.4,1911,-2.5
spr,5,6,2022,27.4,1902,7.4,2024,13.7,1935,-3.0
spr,5,7,1952,25.2,1971,5.4,1990,12.1,1924,-1.2
spr,5,8,1934,25.0,1971,6.8,1991,12.2,1915,-1.7
