point,month,day,hhyear,hhtemp,hlyear,hltemp,lhyear,lhtemp,llyear,lltemp
tky,1,1,1910,18.2,1931,2.6,2004,7.6,1946,-4.6
tky,1,2,1949,16.8,1929,3.5,1997,7.0,1911,-5.4
tky,1,3,2000,16.5,2003,1.8,1988,7.8,1929,-6.5
tky,1,4,2005,18.5,1930,3.9,2000,7.2,1923,-6.6
tky,1,5,1960,21.0,1910,3.3,1976,7.9,1922,-6.6
tky,1,6,1937,20.9,2022,2.6,2000,8.2,1916,-6.2
tky,1,7,2000,16.9,1900,1.7,2000,8.8,1945,-5.8
tky,1,8,1932,17.8,1931,3.5,2000,7.1,1918,-8.1
tky,1,9,1910,17.7,1959,2.1,2008,8.0,1918,-8.2
tky,1,10,1928,17.8,1909,1.3,2000,7.4,1940,-6.0
tky,1,11,1928,18.6,1931,2.1,1989,8.4,1940,-6.4
tky,1,12,1982,16.4,1909,0.2,1972,9.1,1907,-6.9
tky,1,13,1908,20.3,1909,0.4,1972,9.3,1939,-6.9
tky,1,14,1964,17.5,1950,1.9,2000,8.5,1938,-5.6
tky,1,15,1929,21.3,1923,1.6,1996,13.2,1915,-5.1
tky,1,16,2021,18.7,1904,2.6,2002,8.3,1915,-5.1
tky,1,17,1987,18.0,1933,1.0,2007,5.8,1918,-6.3
tky,1,18,1968,16.2,1922,0.5,2000,6.0,1945,-6.3
tky,1,19,1938,18.1,1934,1.1,1989,7.8,1959,-6.0
tky,1,20,1989,19.2,1911,1.9,1989,10.1,1942,-6.3
tky,1,21,2010,18.0,1984,0.7,1989,7.0,1922,-7.3
tky,1,22,1923,19.2,1933,1.8,1988,7.4,1922,-8.1
tky,1,23,1916,22.1,1977,2.4,2009,6.7,1927,-7.3
tky,1,24,1987,16.0,1906,0.5,2020,7.4,1927,-8.6
tky,1,25,1975,17.6,1923,0.6,1973,7.5,1902,-6.4
tky,1,26,1977,17.9,1900,-1.0,1979,5.8,1902,-6.6
tky,1,27,1969,22.6,1904,3.4,2021,6.4,1904,-6.4
tky,1,28,1980,18.8,1909,2.5,2007,6.4,1927,-7.3
tky,1,29,2020,18.6,1927,2.7,1980,7.7,1927,-6.5
tky,1,30,2017,19.5,1925,1.1,2009,8.3,1927,-7.1
tky,1,31,1950,19.8,1919,1.9,1957,6.3,1936,-7.1
tky,2,1,1979,17.6,1942,0.2,1949,7.6,1936,-7.2
tky,2,2,2013,20.9,1902,2.2,2013,12.0,1910,-5.8
tky,2,3,1966,19.1,1957,1.5,2014,7.0,1901,-7.9
tky,2,4,2019,19.4,1952,2.3,1949,6.9,1947,-6.2
tky,2,5,1988,19.7,1927,0.8,2013,6.1,1945,-7.9
tky,2,6,1993,20.7,1984,2.3,1973,7.0,1927,-6.1
tky,2,7,1993,21.9,1923,1.4,1993,10.3,1905,-5.3
tky,2,8,1924,20.5,1920,1.3,1924,6.6,1927,-6.3
tky,2,9,1950,21.4,1919,3.4,1989,7.6,1927,-6.5
tky,2,10,1987,17.9,1931,1.0,2007,8.9,1927,-5.3
tky,2,11,1962,24.5,1967,0.0,2003,8.1,1927,-5.6
tky,2,12,1987,23.0,1967,-0.2,1962,8.0,1927,-4.9
tky,2,13,2016,21.8,1931,0.8,2016,8.3,1931,-5.5
tky,2,14,2009,23.9,1951,1.7,2016,15.1,1929,-7.0
tky,2,15,2024,21.1,1920,2.0,2009,10.6,1929,-4.6
tky,2,16,1956,20.5,1952,2.5,2020,7.8,1929,-4.6
tky,2,17,2017,20.6,1996,2.0,1959,9.9,1926,-6.0
tky,2,18,1943,21.4,1907,1.5,2024,9.2,1932,-3.9
tky,2,19,2023,18.5,1952,1.1,2024,12.8,1918,-4.8
tky,2,20,2024,23.7,1927,3.9,2024,12.8,1933,-5.0
tky,2,21,2021,20.9,1953,2.4,1990,7.8,1942,-5.7
tky,2,22,2021,21.9,1945,0.6,1966,9.5,1917,-4.4
tky,2,23,1929,20.9,1914,1.4,1967,12.1,1945,-6.0
tky,2,24,1930,24.9,1933,4.1,1990,10.2,1945,-6.2
tky,2,25,1922,23.4,1945,2.6,1922,12.1,1924,-5.0
tky,2,26,1958,22.1,1936,0.3,2010,14.7,1943,-3.4
tky,2,27,1954,21.4,1906,3.2,1954,9.8,1929,-5.9
tky,2,28,1954,21.3,1936,1.3,1954,12.6,1923,-4.6
tky,3,1,2018,20.3,1940,3.4,1992,12.4,1927,-4.6
tky,3,2,2023,20.0,1945,2.2,2002,9.1,1917,-3.1
tky,3,3,1961,20.7,1934,3.9,1966,12.5,1918,-3.8
tky,3,4,1937,23.4,1969,2.7,1966,13.1,1929,-5.4
tky,3,5,1966,21.6,1955,2.5,2007,12.7,1910,-3.4
tky,3,6,1942,22.9,1954,3.5,2021,9.6,1928,-5.6
tky,3,7,1914,23.3,1922,4.4,1914,14.9,1910,-4.1
tky,3,8,2013,23.2,1933,3.6,2016,12.7,1924,-4.3
tky,3,9,2013,22.3,1963,3.8,2013,11.6,1946,-2.7
tky,3,10,2013,25.3,1908,1.8,2020,12.6,1934,-3.3
tky,3,11,2004,21.5,1911,4.4,2004,11.1,1934,-3.8
tky,3,12,2022,21.8,1969,3.0,1960,10.8,1930,-2.6
tky,3,13,1955,22.5,1927,3.8,2013,13.1,1900,-3.5
tky,3,14,2022,24.1,1984,3.7,1992,10.1,1901,-3.7
tky,3,15,2002,23.9,1907,5.4,2002,13.5,1924,-4.3
tky,3,16,2024,22.7,1907,4.0,2002,11.8,1929,-3.4
tky,3,17,1956,22.1,1909,2.5,1995,12.8,1907,-5.4
tky,3,18,1902,22.8,1900,4.3,2013,14.5,1924,-3.8
tky,3,19,2013,25.0,1984,5.7,2013,15.5,1945,-3.7
tky,3,20,1991,22.3,1926,1.7,2013,15.1,1907,-3.2
tky,3,21,1941,25.2,1905,4.7,2019,13.9,1907,-3.7
tky,3,22,2019,23.9,1910,5.3,1938,13.4,1922,-1.8
tky,3,23,1920,21.7,1986,4.8,2023,13.9,1935,-3.3
tky,3,24,2023,25.0,1935,6.5,1942,15.3,1928,-1.3
tky,3,25,1942,23.0,1920,4.4,2001,13.5,1916,-3.9
tky,3,26,1942,23.1,1995,5.6,1958,16.2,1926,-1.5
tky,3,27,2020,22.8,1974,3.2,1967,15.0,1926,-4.0
tky,3,28,2020,24.6,1984,6.5,2021,14.3,1926,-2.5
tky,3,29,2018,24.2,1934,4.1,1930,15.0,1924,-2.7
tky,3,30,1997,25.1,1962,6.9,2004,15.0,1934,-1.8
tky,3,31,2024,28.1,1935,6.4,2021,15.0,1958,-1.7
tky,4,1,2007,24.5,1984,4.3,1964,14.7,1941,-0.4
tky,4,2,2002,26.1,1998,6.7,1967,13.5,1911,-1.1
tky,4,3,1945,24.6,1934,7.2,2018,14.3,1907,-0.7
tky,4,4,1964,26.3,1914,3.0,2021,15.7,1914,0.1
tky,4,5,1961,26.0,1939,6.3,1961,16.8,1925,0.3
tky,4,6,1994,24.4,1923,4.2,1980,17.2,1914,-0.7
tky,4,7,1937,24.5,1943,7.6,2005,17.9,1923,-0.8
tky,4,8,1987,24.9,1963,6.5,2011,15.5,1931,0.0
tky,4,9,1991,24.7,1908,4.4,1962,14.9,1908,0.0
tky,4,10,1952,27.0,1900,8.5,1911,16.1,1925,1.4
tky,4,11,2009,26.1,1918,8.8,2001,15.0,1902,-0.1
tky,4,12,1973,26.6,1987,9.0,2022,15.4,1902,-0.3
tky,4,13,2022,26.4,1918,8.5,1998,19.1,1926,1.2
tky,4,14,2024,24.8,1987,10.2,1998,20.0,1938,2.3
tky,4,15,2002,28.0,1980,9.6,1977,15.8,1926,2.1
tky,4,16,2017,26.1,1904,6.7,2002,20.3,1926,0.5
